discount_id,product_id,discount_percentage,start_date,end_date,day_of_week,campaign_name
1,3851,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
2,3851,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
3,3859,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
4,3859,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
5,885,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
6,885,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
7,1873,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
8,1873,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
9,2871,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
10,2871,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
11,3085,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
12,3085,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
13,1487,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
14,1487,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
15,1609,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
16,1609,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
17,1606,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
18,1606,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
19,209,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
20,209,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
21,2702,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
22,2702,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
23,2703,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
24,2703,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
25,1246,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
26,1246,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
27,1766,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
28,1766,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
29,525,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
30,525,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
31,531,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
32,531,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
33,530,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
34,530,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
35,1703,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
36,1703,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
37,1998,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
38,1998,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
39,2774,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
40,2774,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
41,1058,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
42,1058,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
43,1795,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
44,1795,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
45,2793,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
46,2793,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
47,3991,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
48,3991,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
49,413,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
50,413,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
51,278,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
52,278,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
53,138,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
54,138,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
55,139,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
56,139,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
57,135,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
58,135,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
59,2389,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
60,2389,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
61,3482,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
62,3482,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
63,1752,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
64,1752,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
65,3730,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
66,3730,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
67,3225,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
68,3225,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
69,2990,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
70,2990,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
71,3446,30.0,2014-01-01,2015-12-30,Tuesday,Martes Promo 30% OFF
72,3446,25.0,2014-01-01,2015-12-30,Friday,Viernes Promo 25% OFF
